answer	query	num	Query	UserId	ChatsQuantity	BotAnswer	BotHelp	Len	SbertScore	OldMouseRelevant	OldMouseScore	MouseRelevant	MouseScore
Справочник  Отчетность за I квартал 2023 года  - https://www.1gl.ru/#/document/16/134188/  	Справочник отчетность за 1 квартал 	1	справочник 1 квартал 2024	21470897	1	0	0	4	0.868483603000641	Правда	0.977007269859314	Правда	0.941575825214386
Лучше дождаться требования налоговой об уплате штрафа. Иначе есть риск либо перечислить деньги на неверный КБК, либо налоговая не учтет такой добровольный платеж и все равно оштрафует.  Взыскание налоговых штрафов производится по определенной процедуре. Налоговая выставит требование, в котором будет указан КБК и прочие реквизиты для оплаты штрафа. Также отметим следующее. Срок давности по налоговым штрафам составляет три года. Он идет со дня, следующего за окончанием налогового периода, в котором было совершено правонарушение, предусмотренное ст. 120, 122, 129.3 и 129.5 НК РФ. По всем остальным статьям срок давности идет со дня совершения правонарушения.  Такой порядок предусмотрен ст. 113 НК РФ.  По истечении этого срока налоговая не имеет права штрафовать организацию. Возможно, в Вашем случае срок давности также пройдет.     Материалы Системы Главбух по Вашему вопросу: https://usn.1gl.ru/#/document/16/64725/tit5/, https://usn.1gl.ru/#/document/16/64725/tit3/, https://usn.1gl.ru/#/document/16/62758/tit1/, https://usn.1gl.ru/#/document/16/62761/tit2/. 	за опоздание по сдаче бухг.баланса за 2018г.налоговая до сих пор не выставила нам этот штраф,что делать в таком случае, Или самим оплатить этот штраф.МЫ должны были сдать баланс 01,04,2019, а опоздали на 2 дня.Если мы сами оплатим штраф 1000р, чтобы налоговая не оштрафовала нас от 3 до 5 тыс. руб	2	Какой штраф за баланс?	4657767	1	0	0	4	0.87641453742981	Правда	0.912747800350189	Правда	0.9276118278503418
Да, обязана. Специальную оценку условий труда обязаны проводить все работодатели (Закон от 28.12.2013 № 426-ФЗ).  Специальную оценку условий труда не проводят в отношении:    надомников;     дистанционных работников;     людей, для которых работодатели   физлица без  статуса индивидуальных предпринимателей.   Также спецоценку не проводят религиозные организации, которые зарегистрированы по правилам Закона от 26.09.1997 № 125-ФЗ. Об этом сказано в части 3 статьи 3 Закона от 28.12.2013 № 426-ФЗ.  Материалы Системы Главбух по вашему вопросу:  https://vip.1gl.ru/#/document/16/64301/    	некоммерческая организация обязана проводить спецоценку рабочих мест?,У некомерческой организации нет вредных производств, занимается рекламными и маркетинговыми услугами.	3	фз-125 от 26.09.1997 г	1561253	1	0	0	4	0.523872315883637	Ложь	0.792117118835449	Ложь	0.8525116443634033
Пересдать отчётность за 2018 год нельзя, исправления внесите в том периоде, когда нашли ошибку. Не уточняйте отчетность за период, в котором допустили ошибку. Все изменения, связанные с прошлыми периодами, отразите в отчетности текущего. В пояснениях к годовой отчетности текущего периода укажите характер исправленной ошибки, а также суммы корректировок по каждой статье  Если отчётность за 2019 сдана но не но не утверждена собственниками, то ее можно уточнить. При этом в исправленной бухгалтерской отчетности раскрывается информация о том, что данная бухгалтерская отчетность заменяет первоначально представленную бухгалтерскую отчетность, а также об основаниях составления исправленной бухгалтерской отчетности. П. 8 ПБУ 22/2010  Если в отчетах есть существенные ошибки, искажающие показатели, их лучше исправить и сдать уточненную отчетность (см., в какой срок нужно сдать исправленную отчетность). Например, когда неправильно отразили балансовую стоимость основных средств, сумму выручки или иной показатель. Если ошибки не исправить, должностных лиц организации могут оштрафовать за грубое нарушение правил бухучета (ст. 15.11 КоАП). Кроме того, отчетность с ошибками аудиторы могут признать недостоверной.    Срок сдачи уточненной отчетности - не позднее чем через 10 рабочих дней со дня, следующего за днем когда внесли исправления. Если корректировки были при утверждении отчетности, исправленный экземпляр представьте не позднее чем через 10 рабочих дней, следующих за днем утверждения отчетности. Вносить исправления в утвержденную бухотчетность нельзя. Об этом - в части 9 статьи 13, части  5 статьи 18 Закона от 06.12.2011 № 402-ФЗ.  Более подробно об этом Вы можете узнать, перейдя по ссылке:  https://vip.1gl.ru/#/document/16/64725/  https://vip.1gl.ru/#/document/16/63991/dfasw7hw08/ 	Доброе утро, подскажите, организациям корректировку баланса за предыдущий год (2018 г.) можно пересдать в балансе текущего года (2019 г.)? Или же надо пересдать баланс 2018 года, и сдавать баланс 2019 года.	4	можно ли пересдать баланс	13897330	1	0	0	4	0.879839956760407	Правда	0.935926914215088	Правда	0.9461261630058289
Здравствуйте, Артём Андреевич!  Ответ на Ваш вопрос находится во вложении. 	Добрый день! Подскажите, у работника изменилась должность, с инженера до зав отдела, но группа и категория персонала осталось той же. Необходимо ли ему проходить внеочередную проверку знаний по электробезопасности или можно просто заменить удостоверение.  А если наша организация не относится к электроэнергетической, данные требования приказа 796 же на нас не распространяются?	5	от артема с любовью	840957	1	0	0	4	0.916836321353912	Правда	0.982073545455933	Правда	0.9767753481864929
   Специального перечня исключенных должностей нет . Нужно в каждом случае смотреть актуальный квалификационных справочник или профстандарт.  См. : выпуски ЕКС - https://vip.1gl.ru/#/document/117/36575/bssPhr2  Профстандарты : https://vip.1gl.ru/#/document/117/19677/bssPhr10 	Здравствуйте! Есть ли перечень профессий, должностей, специальностей которые исключили из ЕТКС, названия которых нужно менять, с изменением труд. функций (например такая должность как инженер по охране труда или управляющий персоналом?) Где этот перечень можно найти? в каком документе?  	6	Нужен профстандарт сварщика, актуальный	21029657	1	0	0	4	0.986802875995636	Правда	0.972688555717468	Правда	0.9573023915290833
   Никаких изменений с 2021 в части организаций, которые реализуют услуги, будучи на УСН, нет.  Платить нужно только УСН.           Более подробно об этом Вы можете узнать, перейдя по ссылке:  https://vip.1gl.ru/#/document/117/46472/bssPhr84 	Российская компания на УСН оказывает услуги размещения рекламы в сети интернет компании из Гибралтара. Какие налоги у нее возникают? Есть ли изменения с 2021 года?	7	налог на усн изменение	21400590	1	0	0	4	0.431784123182297	Правда	0.968298256397247	Правда	0.9689730405807495
По вопросу срока сдачи бухгалтерской отчетности  Срок сдачи бухгалтерской отчетности за 2019 год для организаций, которые освобождены от сдачи бухотчетности в ГИР БО перенесли  на 30 июня 2020 года (абз. 1 п. 3 постановления № 409, п. 5.1 ст. 23 НК).  На организации, чья отчетность включается в ГИР БО, перенос срока не распространяется. Таким образом, для организаций, которые работают в нерабочие дни, срок остается прежний &mdash; 31 марта. Для организаций, которые не работают с 30 марта по 30 апреля, крайний срок сдачи сдвигается на 6 мая (письмо Минфина, ФНС от 07.04.2020 № 07-04-07/27289/ВД-4-1/5878, письмо Минфина и ФНС от 27.03.2020 № 07-04-07/24096, ВД-4-1/5303, письмо Минфина от 31.03.2020 № 03-02-07/2/25589). Квартальная отчетность в ИФНС не предоставляется.   Ответ предоставлен на основании материала: https://www.1gl.ru/#/document/184/54858/dfasfvr9n4/  По вопросу сроков сдачи налоговой отчетности  Всем налогоплательщикам Правительство предоставило отсрочки по сдаче отчетности, которую надо представить в налоговые инспекции в марте-мае 2020 года (постановление Правительства от 02.04.2020 № 409).   Сдача декларации по НДС, расчет по страховым взносам, переносится на 15 мая 2020 года.  Сдачу остальной налоговой отчетности, которую надо сдать в ИФНС в марте-мае 2020 года продлили на три месяца от изначального срока, установленного НК.  Подробный материал читайте по ссылкам: https://www.1gl.ru/#/document/86/212099/  https://www.1gl.ru/#/document/117/54318/  По вопросу сроков предоставления статистической отчетности  Росстат перенес сроки сдачи статистической отчетности, которую надо представить в период нерабочих дней по указам Президента c 30 марта по 30 апреля (указы от 02.04.2020 № 239, от 25.03.2020 № 206). Но сроки переноса зависят от периода, когда действуют нерабочие дни.  Нерабочие дни с 30 марта по 3 апреля. Формы статотчетности, которые надо сдавать с 28 марта до 8 апреля, можно представить с задержкой от трех до восьми дней (информация Росстата от 26.03.2020 с перечнем форм с новыми сроками). По указанным формам на период продления сроков Росстат не будет применять меры, которые предусмотрены статьей 13.19 КоАП.??????  Нерабочие дни с 4 по 30 апреля. Крупные и средние организации, которые продолжают вести деятельность с 6 по 30 апреля, в том числе удаленно, должны представить отчеты по всем формам в установленные сроки. По формам, по которым ранее Росстат принял решение о переносе сроков представления, новые сроки внесли в статкалендарь на сайте Росстата.  Малые предприятия Росстат освободил на срок действия указа от заполнения всех форм. Исключение   малые предприятия, которые включены в выборку для заполнения форм ПМ, ПМ-пром, ПМ-торг и работают с 6 по 30 апреля в обычном или удаленном режиме. По форме №1-ИП (мес) должны отчитаться индивидуальные предприниматели, которые не являются субъектами малого предпринимательства. Такие условия переноса сроков сдачи отчетности Росстат озвучил на своем сайте 3 апреля.  Территориальные органы Росстата в апреле продолжат работу. При сборе отчетности респондентам рекомендуют использовать бесконтактные формы передачи документов, включая отправку через спецоператоров и Почту России.  Ответ предоставлен на основании материала: https://www.1gl.ru/#/document/86/212196/    	Добрый день. сроки сдачи налоговой, статистической , бухгалтерской отчетности за 1 кв. 2020г. 	8	отчетность за 1 кв.2024	21310309	1	0	0	4	0.915723025798798	Ложь	0.865957915782928	Ложь	0.8529154658317566
Декларацию за 1 квартал по НДС нужно предоставить. Отчетность по страховым взносам предоставляйте.  Вновь созданная организация вправе применять любой порядок уплаты авансов по прибыли: ежеквартально исходя из прибыли предыдущего квартала, только по итогам квартала или по итогам фактической прибыли за месяц.  Отчетность по прибыли за первый квартал или март нужно сдавать. Не позднее 20 апреля нужно сдать сведения о среднесписочной численности.  Более подробно об этом Вы сможете узнать, перейдя по ссылке:  https://vip.1gl.ru/#/document/11/14285//9bf7797a-8068-4adf-b6ff-66137f2effc5  https://vip.1gl.ru/#/document/117/53042/  https://vip.1gl.ru/#/document/86/120374/  https://vip.1gl.ru/#/document/86/174693/ 	ООО на ОСНО зарегистрирована 3 марта 2020 года. Нужно ли сдавать отчетность за 1 квартал?	9	Отчетность за 1 квартал	19671766	1	0	0	4	0.716015458106995	Правда	0.942447662353516	Правда	0.9225211143493652
Выплаты показывайте в разделах 1 и 2 расчета 6-НДФЛ за период, в котором перечислили физлицу вознаграждение и удержали НДФЛ. В разделе 2 укажите:    в поле 110 и поле 113   сумму дохода;  поле 130   предоставленные профессиональные вычеты;  поле 140   исчисленный НДФЛ;  поле 160   удержанный НДФЛ.      Более подробно об этом Вы можете узнать, перейдя по ссылке:  https://vip.1gl.ru/#/document/16/55785/tit3/  https://vip.1gl.ru/#/document/86/300951/bssPhr11 	Общество заключило договоры с физлицами, по которым выплачивает авторское вознаграждение как авторам служебных РИД. В какие строки раздела 2 формы 6-НДФЛ необходимо включать эти суммы? 	10	6 ндфл поле 130	4503184	1	0	0	4	0.917807698249817	Правда	0.963115394115448	Правда	0.9478506445884705
